"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"24.02.2023 09:18","Riverside Gardens, Nairobi","650.00","30.71","0.00","0.00","0.00","Ksh","Cash","24.02.2023 09:45","16.00","Finished"
"24.02.2023 08:55","Glenbrooke Apartments, Nairobi","260.00","12.59","0.00","0.00","0.00","Ksh","Cash","24.02.2023 09:11","4.00","Finished"
"24.02.2023 07:42","Doonholm Road, Nairobi","730.00","34.64","0.00","0.00","0.00","Ksh","Cash","24.02.2023 08:49","17.00","Finished"
"22.02.2023 14:09","General Waruingi Street, Nairobi","440.00","21.11","0.00","0.00","0.00","Ksh","Cash","22.02.2023 14:31","8.00","Finished"
"22.02.2023 13:24","St.Mary's, Nairobi","590.00","28.12","0.00","0.00","0.00","Ksh","Cash","22.02.2023 13:55","14.00","Finished"
"22.02.2023 12:14","Njiwa Road, Nairobi","660.00","31.37","0.00","0.00","0.00","Ksh","Cash","22.02.2023 13:02","14.00","Finished"
"22.02.2023 11:35","Jasmine Lane 252, Nairobi","930.00","42.42","0.00","0.00","0.00","Ksh","Cash","22.02.2023 12:11","24.00","Finished"
"22.02.2023 10:44","Kilimani, Nairobi","460.00","21.95","0.00","0.00","0.00","Ksh","Cash","22.02.2023 11:10","11.00","Finished"
"22.02.2023 09:23","Nairobi, Kenya","730.00","34.75","0.00","0.00","0.00","Ksh","Cash","22.02.2023 10:16","16.00","Finished"
"22.02.2023 08:17","Kiambu County, Kenya","300.00","14.27","0.00","0.00","0.00","Ksh","Cash","22.02.2023 08:40","7.00","Finished"
"22.02.2023 06:52","Langata Road, Nairobi","1050.00","47.21","0.00","0.00","0.00","Ksh","Cash","22.02.2023 07:41","25.00","Finished"
"21.02.2023 21:49","Mirema Drive, Nairobi","600.00","28.70","0.00","0.00","0.00","Ksh","Cash","21.02.2023 22:11","14.00","Finished"
"21.02.2023 19:43","Kasarani Constituency, Nairobi","310.00","14.68","0.00","0.00","0.00","Ksh","Cash","21.02.2023 20:17","6.00","Finished"
"21.02.2023 18:37","Icipe Road 1, Nairobi","570.00","27.27","0.00","0.00","0.00","Ksh","Cash","21.02.2023 19:35","10.00","Finished"
"21.02.2023 17:13","Wilson Flyover 60, Nairobi","910.00","42.43","0.00","0.00","0.00","Ksh","Cash","21.02.2023 18:10","17.00","Finished"
"21.02.2023 16:31","Umoja 3 Hospital, Nairobi, Kenya","590.00","27.95","0.00","0.00","0.00","Ksh","Cash","21.02.2023 17:10","14.00","Finished"
"21.02.2023 16:03","Lumumba 1st Avenue, Nairobi","550.00","26.18","0.00","0.00","0.00","Ksh","Cash","21.02.2023 16:30","11.00","Finished"
"21.02.2023 11:00","Sports Drive Estate, Nairobi","230.00","10.94","0.00","0.00","0.00","Ksh","Cash","21.02.2023 11:12","4.00","Finished"
"21.02.2023 10:18","Popo Road, Nairobi","760.00","35.44","0.00","0.00","0.00","Ksh","Cash","21.02.2023 10:48","18.00","Finished"
"21.02.2023 08:45","Mihango, Nairobi","630.00","30.16","0.00","0.00","0.00","Ksh","Cash","21.02.2023 09:33","15.00","Finished"
"21.02.2023 08:01","Sports View Road, Nairobi","620.00","29.35","0.00","0.00","0.00","Ksh","Cash","21.02.2023 08:30","13.00","Finished"
"21.02.2023 06:45","Buffalo Court, Kurosaki Marucho Road, Nairobi, Kenya","580.00","27.51","0.00","0.00","0.00","Ksh","Cash","21.02.2023 07:22","11.00","Finished"
"19.02.2023 22:06","Temple Lane, Nairobi","470.00","22.15","0.00","0.00","0.00","Ksh","Cash","19.02.2023 22:30","10.00","Finished"
"19.02.2023 21:15","Harry Thuku Road, Nairobi","280.00","13.24","0.00","0.00","0.00","Ksh","Cash","19.02.2023 21:36","6.00","Finished"
"19.02.2023 20:53","Waiyaki Way Viking House, Nairobi","200.00","9.66","0.00","0.00","0.00","Ksh","Cash","19.02.2023 21:11","4.00","Finished"
"19.02.2023 20:38","Nanaksar Gurudwara, Nairobi","200.00","9.38","0.00","0.00","0.00","Ksh","Cash","19.02.2023 20:49","3.00","Finished"
"19.02.2023 20:09","Kipande Athumani Street, Nairobi","410.00","19.41","0.00","0.00","0.00","Ksh","Cash","19.02.2023 20:38","8.00","Finished"
"19.02.2023 19:21","Chalbi Drive 1096, Nairobi","540.00","25.62","0.00","0.00","0.00","Ksh","Cash","19.02.2023 19:55","12.00","Finished"
"19.02.2023 18:43","Lumumba 1st Avenue, Nairobi","840.00","39.83","0.00","0.00","0.00","Ksh","Cash","19.02.2023 19:18","19.00","Finished"
"19.02.2023 17:38","Kangaru Road, Nairobi","550.00","26.24","0.00","0.00","0.00","Ksh","Cash","19.02.2023 18:03","13.00","Finished"
"19.02.2023 16:49","Umoja, Nairobi","330.00","15.83","0.00","0.00","0.00","Ksh","Cash","19.02.2023 17:11","5.00","Finished"
"19.02.2023 16:31","Kangundo Road, Nairobi","210.00","9.92","0.00","0.00","0.00","Ksh","Cash","19.02.2023 16:42","3.00","Finished"
