"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"28.01.2023 17:26","Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)","750.00","35.93","0.00","0.00","0.00","Ksh","Cash","28.01.2023 17:53","17.00","Finished"
"28.01.2023 16:30","Yare Plaza Eastleigh, Nairobi","1020.00","42.63","100.00","0.00","0.00","Ksh","Cash","28.01.2023 17:25","20.00","Finished"
"28.01.2023 15:48","Kiganjo Avenue, Nairobi","380.00","18.14","0.00","0.00","0.00","Ksh","Cash","28.01.2023 16:30","7.00","Finished"
"28.01.2023 15:16","Donholm, Nairobi","590.00","27.98","0.00","0.00","0.00","Ksh","Cash","28.01.2023 15:48","12.00","Finished"
"28.01.2023 14:46","Kaloleni Social Hall, Nairobi","510.00","24.23","0.00","0.00","0.00","Ksh","Cash","28.01.2023 15:16","8.00","Finished"
"28.01.2023 14:26","Kodi (I) Road, Nairobi","370.00","17.64","0.00","0.00","0.00","Ksh","Cash","28.01.2023 14:45","5.00","Finished"
"28.01.2023 14:08","Zanzibar Homes 21, Zanzibar Road, Nairobi, Kenya","310.00","14.99","0.00","0.00","0.00","Ksh","Cash","28.01.2023 14:26","3.00","Finished"
"28.01.2023 13:42","Taifa Road Reinsurance Plaza, Nairobi","290.00","13.59","0.00","0.00","0.00","Ksh","Cash","28.01.2023 14:03","4.00","Finished"
"28.01.2023 13:22","Langata Road 229, Nairobi","320.00","15.39","0.00","0.00","0.00","Ksh","Cash","28.01.2023 13:42","6.00","Finished"
"28.01.2023 13:00","Dagoretti Road Karen The Hub, Nairobi","630.00","27.71","50.00","0.00","0.00","Ksh","Cash","28.01.2023 13:18","14.00","Finished"
"28.01.2023 10:29","Karuku Road, Nairobi","260.00","12.33","0.00","0.00","0.00","Ksh","Cash","28.01.2023 10:42","6.00","Finished"
"28.01.2023 10:16","Steers South C, Mombasa Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","28.01.2023 10:29","3.00","Finished"
"28.01.2023 09:49","Wall Flower Apartments, Nairobi, Kenya","230.00","10.88","0.00","0.00","0.00","Ksh","Cash","28.01.2023 10:08","4.00","Finished"
"28.01.2023 09:13","Easy Prestige Apartments, Off Road Mombasa, Nairobi, Kenya","540.00","25.60","0.00","0.00","0.00","Ksh","Cash","28.01.2023 09:48","12.00","Finished"
